Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Doppler_AWGN,qpsk,-30.0,99.95,0.05,0.5314663671313438,0.8366804718971252,0.5476280232791728,0.5
Doppler_AWGN,qpsk,-29.9,98.95,1.05,0.5782640964534153,0.664784699678421,0.3584667495923756,0.21600000000000003
Doppler_AWGN,qpsk,-29.799999999999997,99.8,0.2,0.5479731654733985,0.7172727882862091,0.23562759077035333,0.1
Doppler_AWGN,qpsk,-29.699999999999996,97.725,2.275,0.6086898125764942,0.6082108095288277,0.24502243257680012,0.1
Doppler_AWGN,qpsk,-29.599999999999994,96.175,3.8249999999999997,0.6597342582596852,0.6508789956569672,0.2972822101761204,0.1
Doppler_AWGN,qpsk,-29.499999999999993,100.0,0.0,0.5173042541413502,0.6846587657928467,0.2505362516687348,0.1
Doppler_AWGN,qpsk,-29.39999999999999,99.47500000000001,0.525,0.5634898590825999,0.6354845315217972,0.21817737128054626,0.1
Doppler_AWGN,qpsk,-29.29999999999999,99.925,0.075,0.5226310840127611,0.6682523488998413,0.24054869501897622,0.1
Doppler_AWGN,qpsk,-29.19999999999999,96.39999999999999,3.5999999999999996,0.6417651602656357,0.5989522039890289,0.28931549544870555,0.1
Doppler_AWGN,qpsk,-29.099999999999987,93.35,6.65,0.7474956014461857,0.5830827504396439,0.3447045771690126,0.1
Doppler_AWGN,qpsk,-28.999999999999986,99.325,0.675,0.5646313498657497,0.6086166426539421,0.1939651529873827,0.1
Doppler_AWGN,qpsk,-28.899999999999984,99.875,0.125,0.5393655452942696,0.650656521320343,0.23798044465432414,0.1
Doppler_AWGN,qpsk,-28.799999999999983,99.35000000000001,0.65,0.5676588281240367,0.6046096831560135,0.2511317356420323,0.1
Doppler_AWGN,qpsk,-28.69999999999998,98.75,1.25,0.5864931068913354,0.662164032459259,0.23327539018221344,0.1
Doppler_AWGN,qpsk,-28.59999999999998,94.35,5.65,0.7056372805006685,0.603547677397728,0.30628606527122115,0.1
Doppler_AWGN,qpsk,-28.49999999999998,97.89999999999999,2.1,0.5937969049741411,0.739156037569046,0.31263581076450725,0.1
Doppler_AWGN,qpsk,-28.399999999999977,97.875,2.125,0.6313771965298749,0.6709383428096771,0.24379059277148218,0.1
Doppler_AWGN,qpsk,-28.299999999999976,99.97500000000001,0.025,0.5301572965637482,0.696555495262146,0.22795788879906445,0.1
Doppler_AWGN,qpsk,-28.199999999999974,99.725,0.27499999999999997,0.5520977181242255,0.5871221125125885,0.21082879528161672,0.1
Doppler_AWGN,qpsk,-28.099999999999973,100.0,0.0,0.5163282747894762,0.6397401243448257,0.2299797717468584,0.1
Doppler_AWGN,qpsk,-27.99999999999997,99.825,0.17500000000000002,0.5535169639658183,0.6294950991868973,0.24103643234587988,0.1
Doppler_AWGN,qpsk,-27.89999999999997,98.875,1.125,0.5734838875857734,0.6297287493944168,0.1937225411524398,0.1
Doppler_AWGN,qpsk,-27.79999999999997,95.42500000000001,4.575,0.6851826789743126,0.6062837839126587,0.3353243325856059,0.1
Doppler_AWGN,qpsk,-27.699999999999967,99.9,0.1,0.525780279465245,0.6047076880931854,0.19972313674583034,0.1
Doppler_AWGN,qpsk,-27.599999999999966,98.625,1.375,0.588624531715906,0.65024234354496,0.20996568644649505,0.1
Doppler_AWGN,qpsk,-27.499999999999964,98.3,1.7000000000000002,0.5986263886137553,0.651634693145752,0.20370316912358047,0.1
Doppler_AWGN,qpsk,-27.399999999999963,99.875,0.125,0.5447520590991667,0.6121611222624779,0.2257607790379773,0.1
Doppler_AWGN,qpsk,-27.29999999999996,99.3,0.7000000000000001,0.5655803007476439,0.64219169318676,0.26112768495511873,0.1
Doppler_AWGN,qpsk,-27.19999999999996,98.675,1.325,0.5783617498771232,0.5889691635966301,0.2801287059274759,0.1
Doppler_AWGN,qpsk,-27.09999999999996,99.47500000000001,0.525,0.5596027943450314,0.6361022442579269,0.24535065882092358,0.1
Doppler_AWGN,qpsk,-26.999999999999957,99.575,0.42500000000000004,0.5732410045317972,0.5927045047283173,0.2109994734880366,0.1
Doppler_AWGN,qpsk,-26.899999999999956,99.15,0.8500000000000001,0.5571585850961256,0.7044304311275482,0.2570285816153035,0.1
Doppler_AWGN,qpsk,-26.799999999999955,99.925,0.075,0.541476584270091,0.693509578704834,0.2828413167710365,0.1
Doppler_AWGN,qpsk,-26.699999999999953,100.0,0.0,0.5220915643512629,0.658982515335083,0.21487244953115878,0.1
Doppler_AWGN,qpsk,-26.59999999999995,100.0,0.0,0.5125334649220153,0.7036834061145782,0.28051058361430764,0.1
Doppler_AWGN,qpsk,-26.49999999999995,98.725,1.275,0.5870120156892566,0.6052998006343842,0.2763179355356621,0.1
Doppler_AWGN,qpsk,-26.39999999999995,100.0,0.0,0.5106743877617496,0.673360601067543,0.2297246382327846,0.1
Doppler_AWGN,qpsk,-26.299999999999947,99.9,0.1,0.5505729703816449,0.7271385937929153,0.2521049172823198,0.1
Doppler_AWGN,qpsk,-26.199999999999946,99.775,0.22499999999999998,0.5363374731376597,0.6014431416988373,0.22724565752781686,0.1
Doppler_AWGN,qpsk,-26.099999999999945,99.225,0.775,0.5678468908438347,0.6586742550134659,0.30712574105549845,0.1
Doppler_AWGN,qpsk,-25.999999999999943,99.6,0.4,0.5532391205356045,0.633109837770462,0.21000436384342608,0.1
Doppler_AWGN,qpsk,-25.89999999999994,100.0,0.0,0.5169846305765327,0.7518385648727417,0.29963588599788055,0.1
Doppler_AWGN,qpsk,-25.79999999999994,99.725,0.27499999999999997,0.5482725611451826,0.550938818603754,0.20966539572826282,0.1
Doppler_AWGN,qpsk,-25.69999999999994,99.625,0.375,0.548265086218623,0.5806556716561317,0.2068422858253836,0.1
Doppler_AWGN,qpsk,-25.599999999999937,100.0,0.0,0.5245907228162441,0.7024332582950592,0.2764695204841484,0.1
