Test Case,Modulation,SNR (dB),Semantic Accuracy (%),BER (%),Energy per Semantic Bit,Cosine Similarity,Mutual Information,Compression Ratio
Imperfect_RIS,qpsk,-30.0,98.45,1.55,0.6031550222751875,0.8669010996818542,0.5520454687682744,0.5
Imperfect_RIS,qpsk,-29.9,100.0,0.0,0.5060007341361156,0.7998857200145721,0.34960781028406895,0.27
Imperfect_RIS,qpsk,-29.799999999999997,99.15,0.8500000000000001,0.5750937073091639,0.620341420173645,0.29088502626843593,0.1386
Imperfect_RIS,qpsk,-29.699999999999996,99.625,0.375,0.5598793760066376,0.648979589343071,0.26621243748642903,0.1
Imperfect_RIS,qpsk,-29.599999999999994,95.975,4.025,0.6486545012539022,0.7145688235759735,0.2482896264740981,0.1
Imperfect_RIS,qpsk,-29.499999999999993,99.3,0.7000000000000001,0.5605074802057374,0.6639940589666367,0.30435236785531977,0.1
Imperfect_RIS,qpsk,-29.39999999999999,98.8,1.2,0.5753559458698146,0.621540367603302,0.24597077969402326,0.1
Imperfect_RIS,qpsk,-29.29999999999999,96.275,3.7249999999999996,0.6739283965671891,0.5867421925067902,0.33377257577535535,0.1
Imperfect_RIS,qpsk,-29.19999999999999,99.275,0.7250000000000001,0.5692827731211825,0.6062210947275162,0.22955474831736486,0.1
Imperfect_RIS,qpsk,-29.099999999999987,97.55,2.45,0.6084424500426726,0.5871041342616081,0.2729559287525134,0.1
Imperfect_RIS,qpsk,-28.999999999999986,98.45,1.55,0.586925664470805,0.6157946288585663,0.23300738396210152,0.1
Imperfect_RIS,qpsk,-28.899999999999984,98.675,1.325,0.5893276081402178,0.712356299161911,0.31773298938117184,0.1
Imperfect_RIS,qpsk,-28.799999999999983,99.7,0.3,0.5450337050903242,0.6890863925218582,0.2744835852648284,0.1
Imperfect_RIS,qpsk,-28.69999999999998,100.0,0.0,0.5033710005646616,0.7049518823623657,0.2861269515062526,0.1
Imperfect_RIS,qpsk,-28.59999999999998,99.925,0.075,0.5257155247374286,0.623935304582119,0.2284509978793078,0.1
Imperfect_RIS,qpsk,-28.49999999999998,100.0,0.0,0.5039241754808671,0.5995493531227112,0.21467716314289428,0.1
Imperfect_RIS,qpsk,-28.399999999999977,99.925,0.075,0.5214989087796126,0.6923987716436386,0.3029294313514504,0.1
Imperfect_RIS,qpsk,-28.299999999999976,100.0,0.0,0.504778121317261,0.6463096439838409,0.24240988779544867,0.1
Imperfect_RIS,qpsk,-28.199999999999974,99.2,0.8,0.5662217422879967,0.6554176807403564,0.27167863880755494,0.1
