configuration,use_semantic,use_ris,snr_db,accuracy_mean,accuracy_std,ci_lower,ci_upper,n_trials
conventional_no_ris,False,False,-10,0.1586077259134741,0.01984000992127719,0.15737594428982057,0.15983950753712764,1000
conventional_no_ris,False,False,0,0.8408695161516438,0.01984000992127719,0.8396377345279903,0.8421012977752974,1000
conventional_no_ris,False,False,10,0.9882127939490438,0.013919374943857638,0.9873485993071752,0.9890769885909124,1000
conventional_with_ris,False,True,-10,0.9113389438255005,0.01984000992127719,0.910107162201847,0.9125707254491541,1000
conventional_with_ris,False,True,0,0.9902242556583858,0.012932927288163455,0.9894213053455171,0.9910272059712545,1000
conventional_with_ris,False,True,10,0.9920318235894718,0.011854182761363172,0.9912958479248015,0.9927677992541422,1000
semantic_no_ris,True,False,-10,0.2847773601813368,0.01984000992127719,0.28354557855768325,0.2860091418049904,1000
semantic_no_ris,True,False,0,0.8646998818837812,0.01984000992127719,0.8634681002601277,0.8659316635074348,1000
semantic_no_ris,True,False,10,0.9888578897549265,0.013620743164079198,0.9880122358869804,0.9897035436228726,1000
semantic_with_ris,True,True,-10,0.9245988954065594,0.01984000992127719,0.9233671137829058,0.9258306770302129,1000
semantic_with_ris,True,True,0,0.9905238643851201,0.012770019116065897,0.9897310283460612,0.991316700424179,1000
semantic_with_ris,True,True,10,0.9920410226551116,0.0118479266209326,0.9913054354075261,0.9927766099026971,1000
