configuration,snr_db,metric,mean,std,ci_lower,ci_upper,min,max
conventional_coding_no_ris,-10,ber,0.385956,0.01535518242335496,0.38460681122243545,0.3873051887775646,0.34,0.43
conventional_coding_no_ris,-10,semantic_accuracy,0.614044,0.01535518242335496,0.6126948112224354,0.6153931887775647,0.5700000000000001,0.6599999999999999
conventional_coding_no_ris,-10,effective_throughput,0.481603137254902,0.012043280332043108,0.48054494997838076,0.48266132453142324,0.4470588235294118,0.5176470588235293
conventional_coding_no_ris,-10,energy_per_bit,1.0500000000000003e-07,1.3248144576129223e-23,1.0500000000000003e-07,1.0500000000000003e-07,1.0500000000000001e-07,1.0500000000000001e-07
conventional_coding_no_ris,-5,ber,0.3039879999999999,0.01562883158631851,0.3026147669376147,0.30536123306238516,0.255,0.35
conventional_coding_no_ris,-5,semantic_accuracy,0.696012,0.01562883158631851,0.6946387669376147,0.6973852330623852,0.65,0.745
conventional_coding_no_ris,-5,effective_throughput,0.5458917647058823,0.012257907126524322,0.5448147191667566,0.546968810245008,0.5098039215686274,0.5843137254901961
conventional_coding_no_ris,-5,energy_per_bit,1.0500000000000003e-07,1.3248144576129223e-23,1.0500000000000003e-07,1.0500000000000003e-07,1.0500000000000001e-07,1.0500000000000001e-07
conventional_coding_no_ris,0,ber,0.18806599999999998,0.015147426615307708,0.1867350657632779,0.18939693423672208,0.14,0.23
conventional_coding_no_ris,0,semantic_accuracy,0.8119339999999999,0.015147426615307696,0.8106030657632779,0.813264934236722,0.77,0.86
conventional_coding_no_ris,0,effective_throughput,0.6368109803921568,0.011880334600241326,0.6357671104025708,0.6378548503817427,0.6039215686274509,0.6745098039215686
conventional_coding_no_ris,0,energy_per_bit,1.0500000000000003e-07,1.3248144576129223e-23,1.0500000000000003e-07,1.0500000000000003e-07,1.0500000000000001e-07,1.0500000000000001e-07
conventional_coding_no_ris,5,ber,0.064914,0.009902662745894047,0.06404389887867135,0.06578410112132865,0.036,0.093
conventional_coding_no_ris,5,semantic_accuracy,0.935086,0.00990266274589402,0.9342158988786713,0.9359561011213287,0.907,0.964
conventional_coding_no_ris,5,effective_throughput,0.7334007843137255,0.00776679431050511,0.732718352061703,0.7340832165657479,0.7113725490196079,0.7560784313725489
conventional_coding_no_ris,5,energy_per_bit,1.0500000000000003e-07,1.3248144576129223e-23,1.0500000000000003e-07,1.0500000000000003e-07,1.0500000000000001e-07,1.0500000000000001e-07
conventional_coding_no_ris,10,ber,0.001524,0.0016169889630462005,0.0013819226672638204,0.0016660773327361795,0.0,0.009
conventional_coding_no_ris,10,semantic_accuracy,0.9984759999999999,0.0016169889630462018,0.9983339226672637,0.9986180773327361,0.991,1.0
conventional_coding_no_ris,10,effective_throughput,0.7831184313725491,0.001268226637683301,0.7830069981704031,0.7832298645746951,0.7772549019607843,0.7843137254901961
conventional_coding_no_ris,10,energy_per_bit,1.0500000000000003e-07,1.3248144576129223e-23,1.0500000000000003e-07,1.0500000000000003e-07,1.0500000000000001e-07,1.0500000000000001e-07
conventional_coding_with_ris,-10,ber,0.14236200000000002,0.012676764441821375,0.1412481514080926,0.14347584859190743,0.109,0.185
conventional_coding_with_ris,-10,semantic_accuracy,0.8576379999999999,0.012676764441821387,0.8565241514080925,0.8587518485919073,0.815,0.891
conventional_coding_with_ris,-10,effective_throughput,0.6726572549019607,0.009942560346526578,0.6717836481632098,0.6735308616407116,0.6392156862745098,0.6988235294117647
conventional_coding_with_ris,-10,energy_per_bit,1.37e-07,0.0,,,1.37e-07,1.37e-07
conventional_coding_with_ris,-5,ber,0.023300000000000005,0.006080455894731542,0.022765738496003114,0.023834261503996895,0.007,0.046
conventional_coding_with_ris,-5,semantic_accuracy,0.9767,0.006080455894731547,0.9761657384960031,0.977234261503997,0.954,0.993
conventional_coding_with_ris,-5,effective_throughput,0.7660392156862745,0.004768985015475728,0.7656201870556887,0.7664582443168604,0.748235294117647,0.7788235294117647
conventional_coding_with_ris,-5,energy_per_bit,1.37e-07,0.0,,,1.37e-07,1.37e-07
conventional_coding_with_ris,0,ber,4.4e-05,0.0002796791749161234,1.9425885950958783e-05,6.857411404904122e-05,0.0,0.002
conventional_coding_with_ris,0,semantic_accuracy,0.9999560000000001,0.0002796791749161236,0.9999314258859511,0.9999805741140491,0.998,1.0
conventional_coding_with_ris,0,effective_throughput,0.7842792156862745,0.00021935621562048976,0.7842599418713341,0.7842984895012148,0.7827450980392157,0.7843137254901961
conventional_coding_with_ris,0,energy_per_bit,1.37e-07,0.0,,,1.37e-07,1.37e-07
conventional_coding_with_ris,5,ber,0.0,0.0,,,0.0,0.0
conventional_coding_with_ris,5,semantic_accuracy,1.0,0.0,,,1.0,1.0
conventional_coding_with_ris,5,effective_throughput,0.7843137254901963,2.222669831529484e-16,0.7843137254901963,0.7843137254901963,0.7843137254901961,0.7843137254901961
conventional_coding_with_ris,5,energy_per_bit,1.37e-07,0.0,,,1.37e-07,1.37e-07
conventional_coding_with_ris,10,ber,0.0,0.0,,,0.0,0.0
conventional_coding_with_ris,10,semantic_accuracy,1.0,0.0,,,1.0,1.0
conventional_coding_with_ris,10,effective_throughput,0.7843137254901963,2.222669831529484e-16,0.7843137254901963,0.7843137254901963,0.7843137254901961,0.7843137254901961
conventional_coding_with_ris,10,energy_per_bit,1.37e-07,0.0,,,1.37e-07,1.37e-07
semantic_processing_no_ris,-10,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_no_ris,-10,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_no_ris,-10,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
semantic_processing_no_ris,-10,energy_per_bit,1.1e-07,0.0,,,1.1e-07,1.1e-07
semantic_processing_no_ris,-5,ber,0.50037,0.015371456122523124,0.4990193813278446,0.5017206186721553,0.448,0.542
semantic_processing_no_ris,-5,semantic_accuracy,0.49963,0.015371456122523126,0.49827938132784466,0.5009806186721554,0.45799999999999996,0.552
semantic_processing_no_ris,-5,effective_throughput,0.5878,0.01808406602649779,0.5862110368562878,0.5893889631437121,0.5388235294117647,0.6494117647058825
