configuration,semantic_enabled,ris_enabled,snr_db,ber_mean,ber_std,ber_ci_lower,ber_ci_upper,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,n_trials
conventional_no_ris,False,False,-10,0.45395775000000005,0.008283026466062998,0.45344349220327435,0.45447200779672575,0.54604225,0.008283026466062996,0.5455279922032742,0.5465565077967257,1000
conventional_no_ris,False,False,0,0.382395,0.007663173298314478,0.38191922624357594,0.38287077375642403,0.6176050000000001,0.007663173298314477,0.617129226243576,0.6180807737564241,1000
conventional_no_ris,False,False,10,0.34145825,0.00749746253325083,0.3409927645184335,0.3419237354815665,0.6585417500000001,0.007497462533250829,0.6580762645184337,0.6590072354815666,1000
conventional_with_ris,False,True,-10,0.34145825,0.00749746253325083,0.3409927645184335,0.3419237354815665,0.6585417500000001,0.007497462533250829,0.6580762645184337,0.6590072354815666,1000
conventional_with_ris,False,True,0,0.33491025,0.00745302840713089,0.3344475232438694,0.33537297675613065,0.6650897500000001,0.007453028407130889,0.6646270232438696,0.6655524767561307,1000
conventional_with_ris,False,True,10,0.33415125,0.0074558239610052505,0.33368834967984884,0.3346141503201512,0.66584875,0.007455823961005251,0.6653858496798488,0.6663116503201512,1000
semantic_no_ris,True,False,-10,0.45395775000000005,0.008283026466062998,0.45344349220327435,0.45447200779672575,0.54604225,0.008283026466062996,0.5455279922032742,0.5465565077967257,1000
semantic_no_ris,True,False,0,0.382395,0.007663173298314478,0.38191922624357594,0.38287077375642403,0.6176050000000001,0.007663173298314477,0.617129226243576,0.6180807737564241,1000
semantic_no_ris,True,False,10,0.34145825,0.00749746253325083,0.3409927645184335,0.3419237354815665,0.6585417500000001,0.007497462533250829,0.6580762645184337,0.6590072354815666,1000
semantic_with_ris,True,True,-10,0.34145825,0.00749746253325083,0.3409927645184335,0.3419237354815665,0.6585417500000001,0.007497462533250829,0.6580762645184337,0.6590072354815666,1000
semantic_with_ris,True,True,0,0.33491025,0.00745302840713089,0.3344475232438694,0.33537297675613065,0.6650897500000001,0.007453028407130889,0.6646270232438696,0.6655524767561307,1000
semantic_with_ris,True,True,10,0.33415125,0.0074558239610052505,0.33368834967984884,0.3346141503201512,0.66584875,0.007455823961005251,0.6653858496798488,0.6663116503201512,1000
